blue,green,red,ndwi,brightness,label,source_file
0.3870009,0.30316222,0.24537858,0.10534043,0.31184724,0,GSL_1990_06.tif
0.36809286,0.29695064,0.24335876,0.099187195,0.30280077,0,GSL_1990_06.tif
0.41378388,0.3283021,0.28129348,0.077114284,0.34112647,0,GSL_1990_06.tif
0.43433252,0.350703,0.30950785,0.06239687,0.36484778,0,GSL_1990_06.tif
0.20958386,0.13882498,0.29134476,-0.35455635,0.21325122,0,GSL_2017_04.tif
0.23864238,0.16693991,0.30633283,-0.29452914,0.23730505,0,GSL_2017_04.tif
0.21385823,0.14213516,0.28868297,-0.34016085,0.21489213,0,GSL_2017_04.tif
0.18084863,0.108216695,0.260263,-0.41263026,0.18310945,0,GSL_2017_04.tif
0.251681,0.1761396,0.3132945,-0.28023103,0.24703836,0,GSL_2017_04.tif
0.15441221,0.062906094,0.22852598,-0.5682947,0.14861476,0,GSL_2017_04.tif
0.19715588,0.118276164,0.26763415,-0.3870267,0.19435541,0,GSL_2017_04.tif
0.24259348,0.17360324,0.30756137,-0.27840337,0.2412527,0,GSL_2017_04.tif
0.35807323,0.30063626,0.39994675,-0.14175387,0.3528854,0,GSL_2017_04.tif
0.3929147,0.33846673,0.44372335,-0.13456637,0.3917016,0,GSL_2017_04.tif
0.20599197,0.107571855,0.2689446,-0.42859295,0.19416948,0,GSL_2017_04.tif
0.18171069,0.10138141,0.25694597,-0.43413958,0.1800127,0,GSL_2017_04.tif
0.24593395,0.17093791,0.3073566,-0.28521842,0.24140948,0,GSL_2017_04.tif
0.4038341,0.34783837,0.42509067,-0.09994733,0.39225438,0,GSL_2017_04.tif
0.30678082,0.23413199,0.3461781,-0.1930794,0.29569697,0,GSL_2017_04.tif
0.19744323,0.12244611,0.27463678,-0.38327077,0.19817537,0,GSL_2017_04.tif
0.19471338,0.11625567,0.27975565,-0.41286588,0.19690824,0,GSL_2017_04.tif
0.7525722,0.73138785,0.79135615,-0.039381705,0.75843877,0,GSL_2017_04.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_2017_04.tif
0.3805945,0.31224334,0.42676964,-0.15497176,0.37320247,0,GSL_2017_04.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_2017_04.tif
0.49966612,0.45273197,0.5815643,-0.12456027,0.51132077,0,GSL_2017_04.tif
0.21328354,0.13138786,0.29048482,-0.37711987,0.21171874,0,GSL_2017_04.tif
0.86262816,0.857733,0.8971325,-0.022451568,0.87249786,0,GSL_2017_04.tif
1.0,0.9962442,0.99443203,0.0009103234,0.99689204,0,GSL_2017_04.tif
0.4668991,0.4131299,0.49975148,-0.094888,0.45992684,0,GSL_2024_11.tif
0.43150982,0.3756501,0.46797884,-0.10944221,0.42504624,0,GSL_2024_11.tif
0.43567327,0.38560387,0.48091757,-0.10999564,0.4340649,0,GSL_2024_11.tif
0.4418859,0.3992712,0.4975695,-0.10960498,0.44624218,0,GSL_2024_11.tif
0.44295928,0.40436292,0.50442165,-0.11010159,0.45058128,0,GSL_2024_11.tif
0.43203026,0.37898082,0.47318497,-0.11054661,0.4280654,0,GSL_2024_11.tif
0.43141225,0.37580326,0.46736637,-0.1085938,0.42486063,0,GSL_2024_11.tif
0.43014368,0.37044352,0.46250477,-0.11052443,0.42103067,0,GSL_2024_11.tif
0.44208106,0.3863313,0.4775872,-0.1056301,0.43533316,0,GSL_2024_11.tif
0.44077998,0.39092532,0.48286986,-0.10522425,0.43819174,0,GSL_2024_11.tif
0.45525447,0.40302297,0.48642993,-0.093773216,0.44823578,0,GSL_2024_11.tif
0.46039373,0.39812267,0.48153007,-0.09481844,0.44668213,0,GSL_2024_11.tif
0.4539534,0.39440915,0.47892702,-0.096775755,0.44242987,0,GSL_2024_11.tif
0.46403673,0.4046309,0.48910955,-0.09452247,0.45259237,0,GSL_2024_11.tif
0.46963137,0.40853584,0.49240166,-0.093087174,0.45685628,0,GSL_2024_11.tif
0.4456265,0.3952514,0.4897603,-0.1067882,0.44354606,0,GSL_2024_11.tif
0.46315852,0.40355897,0.4894541,-0.09618563,0.4520572,0,GSL_2024_11.tif
0.46634614,0.4321952,0.51219255,-0.08470808,0.47024465,0,GSL_2024_11.tif
0.46771228,0.41071802,0.4946219,-0.09267655,0.45768407,0,GSL_2024_11.tif
0.4600034,0.40359724,0.49201885,-0.09872703,0.45187315,0,GSL_2024_11.tif
0.4273789,0.3895471,0.48118553,-0.10524276,0.43270385,0,GSL_2024_11.tif
0.430534,0.37373593,0.4695866,-0.11365825,0.42461884,0,GSL_2024_11.tif
0.4405523,0.39548108,0.48853534,-0.105262935,0.44152293,0,GSL_2024_11.tif
0.458312,0.41554177,0.5074458,-0.09957224,0.46043321,0,GSL_2024_11.tif
0.47073728,0.41550347,0.49898586,-0.091288425,0.4617422,0,GSL_2024_11.tif
0.20987836,0.094049625,0.045409,0.34877926,0.11644566,0,GSL_2006_08.tif
0.21191756,0.12233627,0.074650705,0.24207348,0.13630152,0,GSL_2006_08.tif
0.15703474,0.06004547,0.046316504,0.12907656,0.0877989,0,GSL_2006_08.tif
0.10317151,0.018346317,0.0007397851,0.9224309,0.040752538,0,GSL_2006_08.tif
0.09761643,0.026600169,0.008806461,0.5025388,0.044341017,0,GSL_2006_08.tif
0.23375116,0.15823193,0.11397575,0.1625818,0.16865295,0,GSL_2006_08.tif
0.30167788,0.1780068,0.15229246,0.0778514,0.21065904,0,GSL_2006_08.tif
0.24486132,0.17112859,0.12375659,0.16064504,0.17991549,0,GSL_2006_08.tif
0.15102258,0.07165245,0.05191276,0.15974991,0.09152927,0,GSL_2006_08.tif
0.19247477,0.10114278,0.09159072,0.049560726,0.12840275,0,GSL_2006_08.tif
0.14870211,0.08824614,0.06391194,0.15992604,0.10028673,0,GSL_2006_08.tif
0.13112272,0.061765023,0.052568175,0.08043829,0.08181864,0,GSL_2006_08.tif
0.098319605,0.050415974,0.027158149,0.29981038,0.05863124,0,GSL_2006_08.tif
0.07849006,0.05789603,0.02221731,0.44534755,0.0528678,0,GSL_2006_08.tif
0.22763354,0.14034858,0.11326991,0.1067689,0.16041733,0,GSL_2006_08.tif
0.15246409,0.10793502,0.08947322,0.093520455,0.11662411,0,GSL_2006_08.tif
0.14824505,0.07805779,0.060886934,0.123579584,0.095729925,0,GSL_2006_08.tif
